race,sex,workclass,age,education_num,hours_per_week,capital_gain
Black,Female,Private,37.0,11.0,40.0,0
White,Female,Private,32.0,10.0,40.0,0
White,Female,Self-Emp-Not-Inc,70.0,9.0,24.0,0
White,Female,Private,34.0,8.0,40.0,0
Black,Male,Self-Emp-Not-Inc,27.0,9.0,60.0,0
White,Male,Private,49.0,9.0,40.0,0
White,Male,Private,38.0,13.0,40.0,4508
White,Male,Private,29.0,14.0,40.0,0
White,Male,Self-Emp-Not-Inc,32.0,16.0,35.0,0
White,Female,Federal-Gov,23.0,13.0,15.0,0
White,Male,Self-Emp-Not-Inc,56.0,4.0,20.0,0
White,Female,Self-Emp-Not-Inc,60.0,11.0,40.0,0
White,Male,Local-Gov,38.0,9.0,40.0,0
Black,Female,Private,24.0,9.0,40.0,0
White,Male,Private,18.0,7.0,18.0,0
Black,Female,Private,22.0,10.0,30.0,0
White,Male,Private,42.0,7.0,22.0,0
Other,Female,Private,64.0,4.0,35.0,0
White,Male,Private,25.0,9.0,40.0,0
White,Male,Private,37.0,13.0,50.0,0
White,Male,Private,37.0,12.0,30.0,0
White,Male,Self-Emp-Not-Inc,49.0,9.0,40.0,0
White,Male,State-Gov,47.0,13.0,40.0,0
White,Male,Private,45.0,10.0,55.0,0
White,Male,Local-Gov,76.0,5.0,30.0,0
White,Female,Private,39.0,10.0,38.0,0
White,Male,Self-Emp-Not-Inc,56.0,2.0,25.0,0
White,Female,Private,39.0,10.0,40.0,0
White,Female,Private,69.0,12.0,1.0,0
White,Male,Private,57.0,14.0,50.0,0
White,Female,Private,18.0,8.0,20.0,0
Black,Female,Private,64.0,3.0,16.0,0
White,Male,Private,27.0,11.0,60.0,0
White,Male,Private,20.0,5.0,35.0,0
White,Male,Private,46.0,7.0,32.0,0
White,Male,Private,18.0,7.0,30.0,0
White,Female,Private,52.0,11.0,35.0,0
White,Female,Private,32.0,14.0,40.0,0
White,Male,Private,26.0,11.0,40.0,0
White,Male,Private,19.0,10.0,20.0,0
White,Male,Private,26.0,7.0,40.0,0
White,Male,Private,33.0,13.0,60.0,0
White,Female,Private,55.0,5.0,23.0,0
White,Male,Private,24.0,13.0,32.0,0
White,unknown,Private,59.0,14.0,50.0,0
White,Male,Self-Emp-Inc,62.0,10.0,90.0,0
White,Male,Private,65.0,15.0,60.0,20051
White,Male,Private,21.0,10.0,20.0,0
White,Male,Self-Emp-Not-Inc,57.0,14.0,70.0,0
White,unknown,Local-Gov,46.0,13.0,38.0,0
Black,Female,Private,30.0,10.0,40.0,0
Black,Female,Private,27.0,10.0,30.0,0
White,Male,State-Gov,27.0,10.0,40.0,3411
White,Male,Private,27.0,13.0,35.0,0
White,Male,Private,52.0,14.0,36.0,0
White,Male,Private,35.0,7.0,20.0,0
White,Male,Private,35.0,11.0,44.0,0
Black,Male,Private,35.0,7.0,40.0,0
White,Male,Private,22.0,10.0,20.0,0
White,Male,Private,26.0,4.0,40.0,0
Other,Male,Self-Emp-Inc,41.0,11.0,84.0,0
White,Male,Private,34.0,9.0,40.0,2463
White,Male,Private,33.0,9.0,50.0,0
White,Female,Private,36.0,13.0,40.0,0
White,Female,Federal-Gov,42.0,14.0,40.0,0
White,Male,Federal-Gov,30.0,13.0,40.0,0
White,Female,Private,35.0,9.0,40.0,0
White,Male,Private,25.0,5.0,40.0,0
White,Female,Private,28.0,6.0,40.0,0
White,Female,Private,43.0,12.0,40.0,4650
White,Male,Private,28.0,13.0,55.0,0
White,Male,Private,52.0,6.0,40.0,0
White,Male,Local-Gov,46.0,12.0,50.0,0
White,Female,State-Gov,35.0,10.0,40.0,0
White,Male,Private,64.0,9.0,30.0,0
White,Female,Local-Gov,36.0,13.0,60.0,0
Black,Male,Local-Gov,28.0,11.0,46.0,0
White,Male,Private,48.0,11.0,40.0,5013
White,Female,Private,28.0,15.0,85.0,0
Black,Male,Private,44.0,14.0,40.0,0
Asian-Pac-Islander,Male,Private,39.0,10.0,40.0,0
White,Female,Private,44.0,13.0,45.0,0
White,Female,State-Gov,51.0,9.0,40.0,3908
White,Male,Private,42.0,9.0,20.0,0
White,Female,Private,35.0,8.0,50.0,0
Black,unknown,Private,29.0,9.0,40.0,0
White,Female,Private,26.0,13.0,45.0,0
White,Male,Self-Emp-Not-Inc,27.0,10.0,35.0,0
Black,Female,Private,33.0,13.0,45.0,0
White,Male,Private,43.0,9.0,52.0,0
White,Female,Private,57.0,10.0,40.0,9386
White,Male,Private,22.0,9.0,50.0,0
Black,Male,Private,46.0,9.0,35.0,0
White,Male,Private,49.0,11.0,30.0,0
White,Male,Private,21.0,10.0,40.0,0
White,Female,Private,20.0,7.0,25.0,0
White,Male,Local-Gov,37.0,9.0,40.0,0
White,Male,Local-Gov,24.0,13.0,20.0,0
White,Female,Private,65.0,9.0,50.0,2538
Black,Male,Private,35.0,10.0,40.0,0
White,Female,Private,27.0,10.0,42.0,0
White,Male,Private,75.0,10.0,8.0,0
Asian-Pac-Islander,Male,Private,42.0,16.0,40.0,0
White,Male,Private,61.0,9.0,40.0,0
Black,Female,State-Gov,24.0,14.0,40.0,0
White,Male,Private,22.0,9.0,70.0,0
White,Male,Self-Emp-Not-Inc,35.0,9.0,60.0,7298
White,Female,Private,35.0,9.0,35.0,0
Other,Male,Private,65.0,7.0,40.0,0
White,Male,Self-Emp-Not-Inc,36.0,11.0,40.0,3908
White,Male,Private,33.0,13.0,50.0,0
White,Male,Private,55.0,9.0,35.0,0
White,Male,Self-Emp-Inc,62.0,13.0,50.0,5013
White,Male,Private,38.0,13.0,55.0,7688
White,Male,Private,17.0,6.0,30.0,0
White,Male,Private,38.0,13.0,40.0,0
White,Female,Private,74.0,9.0,40.0,15831
White,Male,Private,37.0,10.0,55.0,0
White,Male,Private,49.0,3.0,40.0,0
Asian-Pac-Islander,Male,Private,27.0,15.0,40.0,0
Black,Female,Private,48.0,10.0,30.0,0
White,Female,Self-Emp-Inc,31.0,10.0,40.0,0
White,Male,Private,37.0,14.0,50.0,0
Black,Male,Private,34.0,9.0,40.0,0
White,Female,Private,29.0,9.0,20.0,0
White,Female,Private,57.0,9.0,40.0,0
White,Male,Private,41.0,11.0,45.0,0
White,Male,Private,17.0,7.0,6.0,0
White,Male,Private,33.0,9.0,60.0,0
White,Male,Private,56.0,9.0,20.0,0
White,Male,Private,18.0,8.0,20.0,0
White,Male,Private,34.0,10.0,99.0,0
White,Male,Self-Emp-Not-Inc,26.0,9.0,40.0,0
White,Female,Private,31.0,9.0,40.0,0
White,unknown,Private,26.0,9.0,40.0,0
White,Male,Private,33.0,7.0,40.0,0
White,unknown,Private,19.0,7.0,25.0,0
White,Male,Local-Gov,46.0,12.0,49.0,0
Black,Female,Private,56.0,9.0,40.0,0
Other,Female,Private,47.0,4.0,40.0,0
White,Male,Private,54.0,6.0,40.0,0
White,Female,Private,24.0,14.0,40.0,0
White,Male,Self-Emp-Inc,59.0,15.0,40.0,99999
White,unknown,Private,55.0,9.0,40.0,0
White,Male,Private,40.0,10.0,40.0,0
White,Male,Private,29.0,10.0,40.0,0
White,Female,Local-Gov,50.0,14.0,50.0,0
White,unknown,Private,60.0,9.0,50.0,0
White,Female,Private,22.0,9.0,40.0,0
White,Male,Private,44.0,10.0,44.0,0
Black,Female,Local-Gov,38.0,10.0,35.0,0
Asian-Pac-Islander,Male,Private,27.0,13.0,40.0,0
White,Female,Private,61.0,9.0,38.0,0
White,Male,Self-Emp-Not-Inc,46.0,9.0,48.0,0
White,Male,Local-Gov,53.0,9.0,45.0,0
White,Male,Private,44.0,9.0,70.0,0
White,Female,Private,52.0,4.0,50.0,0
White,Male,Private,61.0,16.0,40.0,0
White,Male,Self-Emp-Not-Inc,63.0,10.0,20.0,0
White,Female,Private,30.0,13.0,45.0,4787
White,Female,Self-Emp-Not-Inc,33.0,15.0,55.0,0
Black,Female,Private,41.0,7.0,40.0,0
White,Male,Private,34.0,10.0,40.0,0
White,Female,Private,71.0,9.0,18.0,1173
White,Male,Private,59.0,9.0,40.0,0
White,Male,Private,22.0,13.0,25.0,0
Black,Male,Private,38.0,9.0,48.0,4386
White,unknown,Private,35.0,9.0,45.0,0
White,Male,Local-Gov,43.0,10.0,40.0,0
White,Female,Private,42.0,10.0,20.0,0
White,Female,Self-Emp-Not-Inc,19.0,10.0,40.0,0
White,Female,Private,39.0,9.0,45.0,0
White,Female,Private,28.0,9.0,46.0,0
White,Female,Private,36.0,9.0,40.0,4865
White,Female,Local-Gov,45.0,9.0,35.0,0
White,Male,Self-Emp-Not-Inc,44.0,14.0,40.0,0
Black,Male,Federal-Gov,44.0,11.0,40.0,0
White,Female,Local-Gov,42.0,14.0,40.0,0
White,unknown,Private,39.0,8.0,40.0,0
White,Male,Self-Emp-Inc,40.0,13.0,15.0,0
White,Male,Private,33.0,13.0,45.0,0
White,Male,Self-Emp-Not-Inc,74.0,9.0,14.0,0
White,Male,Private,20.0,3.0,30.0,0
White,Female,Private,48.0,9.0,40.0,0
Black,Male,Private,18.0,8.0,25.0,0
White,Female,Private,57.0,10.0,38.0,0
Black,Male,Private,40.0,11.0,44.0,0
White,Male,Private,38.0,11.0,40.0,0
White,Male,Self-Emp-Inc,40.0,13.0,45.0,0
White,Male,Private,34.0,16.0,50.0,0
White,Female,Private,28.0,9.0,40.0,0
White,Male,Private,42.0,5.0,40.0,0
Black,Female,Private,20.0,9.0,20.0,0
Asian-Pac-Islander,Male,Local-Gov,46.0,13.0,40.0,0
White,Male,Private,29.0,11.0,40.0,0
White,Female,Private,60.0,14.0,35.0,3325
White,Female,Private,38.0,13.0,50.0,0
White,Male,Private,68.0,13.0,35.0,0
Black,Female,Self-Emp-Not-Inc,35.0,9.0,40.0,0
White,Female,Private,68.0,9.0,20.0,0
White,Male,Private,67.0,4.0,40.0,0
White,Male,Self-Emp-Not-Inc,22.0,10.0,20.0,0
White,Male,Private,29.0,11.0,48.0,0
White,Male,Private,34.0,9.0,48.0,0
White,Male,Private,74.0,11.0,32.0,0
White,Female,Private,38.0,13.0,56.0,0
White,Male,Private,30.0,12.0,40.0,0
White,Male,Private,60.0,10.0,40.0,0
White,Female,Private,31.0,9.0,56.0,0
White,Male,Private,27.0,10.0,10.0,0
White,Male,Self-Emp-Inc,41.0,9.0,40.0,0
Black,Female,Private,63.0,8.0,30.0,0
White,Male,Private,26.0,10.0,40.0,0
White,Female,Private,20.0,10.0,15.0,0
Other,Male,Private,29.0,8.0,35.0,0
White,Female,Self-Emp-Inc,49.0,10.0,60.0,0
White,Female,Private,33.0,9.0,50.0,0
White,Male,Private,30.0,3.0,40.0,0
Asian-Pac-Islander,Male,Private,39.0,13.0,45.0,0
White,Female,Local-Gov,36.0,15.0,24.0,0
White,Male,Private,48.0,9.0,46.0,0
White,Male,Private,76.0,9.0,20.0,0
White,Male,Private,48.0,14.0,54.0,0
White,Male,Private,39.0,10.0,40.0,0
Black,Female,Private,21.0,8.0,40.0,0
White,Female,Private,47.0,10.0,40.0,0
White,Female,Private,19.0,9.0,30.0,0
White,Male,Private,42.0,10.0,40.0,0
White,Male,Private,42.0,10.0,50.0,0
White,Female,Self-Emp-Not-Inc,38.0,15.0,32.0,0
Black,Female,Private,22.0,9.0,40.0,0
White,Female,Private,43.0,13.0,50.0,0
White,Male,Private,26.0,3.0,30.0,0
Black,Female,Private,32.0,7.0,40.0,0
White,Male,Private,28.0,7.0,40.0,0
White,Male,Private,41.0,15.0,45.0,0
White,Female,Private,42.0,9.0,45.0,0
White,Male,Private,23.0,13.0,35.0,0
Black,Male,Local-Gov,35.0,9.0,38.0,0
White,Female,Private,23.0,9.0,37.0,0
White,Male,Private,38.0,10.0,30.0,0
White,Female,State-Gov,39.0,10.0,35.0,0
Black,Female,Private,23.0,13.0,40.0,0
Black,Male,Private,61.0,4.0,40.0,0
White,Female,Private,55.0,9.0,40.0,0
Black,Male,Private,29.0,14.0,42.0,0
White,Female,Private,36.0,9.0,40.0,0
White,Male,Private,56.0,10.0,60.0,0
Black,Female,Private,38.0,9.0,32.0,0
White,Male,Private,54.0,9.0,50.0,0
Black,Male,Private,25.0,9.0,40.0,0
White,Male,Private,53.0,13.0,72.0,0
White,Male,Private,30.0,9.0,25.0,0
Black,Male,Private,19.0,9.0,37.0,0
White,Male,Self-Emp-Not-Inc,44.0,14.0,30.0,0
White,Male,Self-Emp-Not-Inc,41.0,9.0,60.0,0
White,Male,Private,56.0,9.0,50.0,0
White,Male,Private,39.0,13.0,45.0,0
White,Male,Private,23.0,9.0,48.0,0
White,Male,Federal-Gov,52.0,13.0,45.0,0
White,Male,Private,29.0,13.0,48.0,0
White,Male,Local-Gov,36.0,13.0,50.0,0
White,Male,Private,42.0,9.0,15.0,0
White,Female,Private,43.0,13.0,40.0,14344
White,Male,Private,50.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,69.0,15.0,40.0,99999
White,Male,Private,39.0,6.0,40.0,0
White,Male,Private,65.0,9.0,40.0,9386
Black,Male,Local-Gov,28.0,9.0,30.0,0
White,Female,Private,47.0,5.0,30.0,0
White,unknown,Private,35.0,12.0,40.0,0
Black,Female,Local-Gov,69.0,9.0,20.0,0
White,Male,Local-Gov,57.0,13.0,40.0,0
White,Male,Private,64.0,9.0,40.0,0
White,Female,Private,23.0,14.0,10.0,0
White,Male,Local-Gov,45.0,9.0,78.0,0
White,Female,Private,17.0,7.0,20.0,0
White,Male,Private,39.0,16.0,42.0,0
Black,Male,Private,26.0,7.0,40.0,0
White,Male,Private,34.0,14.0,60.0,4865
Black,Female,State-Gov,37.0,13.0,45.0,0
White,Male,Private,41.0,14.0,40.0,0
White,Female,Private,18.0,6.0,20.0,0
White,Female,Private,48.0,12.0,42.0,0
Black,Female,Private,33.0,9.0,40.0,0
White,Female,Private,58.0,9.0,24.0,0
White,Female,Private,38.0,11.0,40.0,0
White,Male,Self-Emp-Inc,32.0,13.0,40.0,0
White,Male,Private,56.0,9.0,40.0,0
Black,Male,Federal-Gov,49.0,4.0,20.0,0
White,Male,Private,23.0,12.0,20.0,0
White,Male,Private,49.0,10.0,50.0,0
Black,Male,Self-Emp-Not-Inc,45.0,8.0,35.0,0
White,Male,Private,33.0,13.0,42.0,0
White,Male,Private,63.0,9.0,40.0,0
White,Male,Private,25.0,13.0,30.0,3674
White,Male,Private,23.0,6.0,40.0,0
White,Female,Private,17.0,7.0,13.0,0
White,Male,Local-Gov,40.0,9.0,42.0,0
White,Male,Private,37.0,10.0,50.0,0
White,Female,Private,49.0,11.0,60.0,15024
White,Female,Private,49.0,6.0,40.0,0
White,Female,Private,26.0,11.0,36.0,0
White,Male,Private,55.0,9.0,40.0,0
White,Female,Private,38.0,15.0,50.0,0
White,Male,Private,18.0,10.0,40.0,0
White,Male,State-Gov,29.0,14.0,50.0,0
White,Female,Self-Emp-Inc,39.0,10.0,20.0,0
Black,Female,Private,19.0,10.0,30.0,2036
White,Female,Private,24.0,9.0,35.0,0
White,Male,Private,38.0,9.0,44.0,0
White,Female,Private,55.0,14.0,40.0,14084
White,Male,Private,28.0,6.0,40.0,0
White,Female,Private,23.0,13.0,15.0,0
White,Female,Private,35.0,5.0,35.0,0
White,Male,Private,28.0,9.0,55.0,0
Black,Female,Private,53.0,12.0,40.0,0
White,Female,Self-Emp-Inc,26.0,9.0,20.0,0
Asian-Pac-Islander,unknown,Private,38.0,14.0,40.0,0
Black,Male,Self-Emp-Inc,42.0,13.0,60.0,0
White,Male,Private,37.0,13.0,40.0,7298
White,Male,Private,38.0,9.0,42.0,0
White,Male,Private,43.0,5.0,84.0,0
White,Male,Private,17.0,10.0,16.0,0
White,Female,Local-Gov,45.0,14.0,40.0,0
White,Male,Private,40.0,9.0,60.0,0
White,Male,Private,72.0,10.0,32.0,0
Black,Male,Private,31.0,9.0,40.0,0
White,Male,Private,35.0,10.0,40.0,0
White,Male,Private,17.0,7.0,10.0,0
White,Male,Self-Emp-Not-Inc,44.0,9.0,50.0,0
White,Male,Private,32.0,9.0,40.0,3103
White,Male,Local-Gov,33.0,10.0,40.0,0
White,Female,Private,33.0,10.0,30.0,0
White,Female,Private,48.0,10.0,40.0,0
White,Male,Private,36.0,9.0,15.0,0
Amer-Indian-Eskimo,Male,Federal-Gov,58.0,9.0,40.0,0
White,Female,Private,54.0,9.0,40.0,0
White,Male,Private,46.0,12.0,40.0,7298
White,Female,State-Gov,40.0,14.0,40.0,1506
White,Female,Private,36.0,4.0,40.0,0
White,Male,Private,33.0,9.0,45.0,7298
White,Female,Local-Gov,31.0,13.0,40.0,0
White,Female,Self-Emp-Inc,42.0,13.0,35.0,0
White,Male,Self-Emp-Inc,45.0,15.0,35.0,0
White,Female,Private,35.0,10.0,40.0,0
White,Male,Self-Emp-Inc,53.0,9.0,72.0,0
White,Female,Private,27.0,13.0,40.0,0
White,Male,Private,43.0,9.0,40.0,0
White,Male,Self-Emp-Inc,34.0,9.0,40.0,0
White,Male,Private,41.0,13.0,40.0,0
Black,Female,Private,63.0,9.0,11.0,0
White,Female,Local-Gov,34.0,14.0,50.0,0
White,Male,Private,40.0,14.0,52.0,99999
Amer-Indian-Eskimo,Male,Private,28.0,10.0,60.0,0
White,Male,Private,42.0,9.0,40.0,8614
Black,Male,Private,30.0,5.0,40.0,0
White,Male,Private,31.0,10.0,40.0,0
White,Female,Private,23.0,9.0,30.0,0
White,Male,Private,53.0,9.0,52.0,0
Asian-Pac-Islander,Male,Private,35.0,10.0,40.0,0
White,Male,Private,19.0,9.0,40.0,0
Asian-Pac-Islander,Female,Private,29.0,7.0,14.0,2829
White,Male,Private,20.0,10.0,14.0,0
White,unknown,Private,35.0,14.0,40.0,0
White,Male,Self-Emp-Not-Inc,58.0,10.0,45.0,0
White,Male,Private,43.0,10.0,45.0,0
White,Male,Private,18.0,9.0,22.0,0
White,Female,Private,49.0,12.0,40.0,0
White,Male,Private,31.0,10.0,50.0,0
White,Male,Private,71.0,10.0,16.0,0
Black,Female,Private,40.0,9.0,40.0,0
White,Male,Local-Gov,31.0,14.0,40.0,0
White,Male,Private,50.0,7.0,40.0,0
White,Male,Private,50.0,9.0,50.0,15024
White,Male,Private,45.0,13.0,45.0,0
White,Male,Self-Emp-Inc,75.0,16.0,20.0,25124
White,Female,Private,18.0,9.0,15.0,0
White,Female,Self-Emp-Not-Inc,58.0,10.0,40.0,0
White,Male,State-Gov,53.0,9.0,40.0,0
White,Male,Private,24.0,13.0,40.0,0
White,Male,Private,35.0,13.0,45.0,0
White,Male,Private,55.0,6.0,40.0,0
White,Female,State-Gov,33.0,13.0,40.0,0
White,Female,Private,22.0,10.0,40.0,0
White,Female,Private,22.0,13.0,40.0,0
White,Male,Private,54.0,3.0,40.0,0
White,Male,Local-Gov,42.0,13.0,35.0,4650
White,Female,Private,33.0,13.0,40.0,0
White,Male,Private,69.0,4.0,6.0,0
White,Male,Self-Emp-Inc,28.0,13.0,65.0,15024
White,Male,Private,30.0,13.0,40.0,0
White,Male,Private,41.0,10.0,50.0,0
White,Male,Self-Emp-Not-Inc,50.0,13.0,45.0,0
White,Male,Private,47.0,10.0,40.0,0
White,Male,Private,24.0,10.0,60.0,0
White,Female,Private,63.0,9.0,30.0,3674
White,Female,Private,36.0,6.0,40.0,0
White,Male,Self-Emp-Not-Inc,58.0,9.0,35.0,0
Asian-Pac-Islander,Female,Private,29.0,12.0,40.0,0
Black,Female,Private,28.0,13.0,40.0,0
White,Male,Private,27.0,10.0,30.0,0
White,Male,Private,21.0,10.0,25.0,0
White,Female,Private,24.0,13.0,40.0,0
Black,Female,State-Gov,26.0,12.0,8.0,0
White,Male,Private,31.0,15.0,50.0,0
White,Male,Self-Emp-Inc,38.0,9.0,50.0,0
White,Female,Private,24.0,10.0,60.0,0
White,Male,Private,33.0,9.0,30.0,0
White,Male,Private,62.0,4.0,53.0,0
White,Female,Private,51.0,9.0,40.0,0
White,Male,Self-Emp-Not-Inc,88.0,7.0,40.0,6418
Asian-Pac-Islander,Male,State-Gov,41.0,13.0,40.0,0
Amer-Indian-Eskimo,Male,Private,29.0,9.0,40.0,0
White,Male,Private,35.0,11.0,40.0,0
White,Male,Private,50.0,14.0,50.0,0
White,Male,Private,34.0,12.0,60.0,0
White,Male,Private,19.0,10.0,40.0,0
White,Male,Private,37.0,9.0,40.0,1506
White,Female,Private,25.0,9.0,6.0,0
White,Male,Federal-Gov,55.0,11.0,40.0,0
Black,unknown,Private,36.0,10.0,10.0,0
White,Male,Federal-Gov,41.0,14.0,60.0,0
White,Male,Private,38.0,9.0,40.0,0
White,Female,Private,22.0,12.0,27.0,0
White,unknown,Private,17.0,7.0,20.0,0
White,Male,Local-Gov,40.0,10.0,40.0,7298
White,Female,Local-Gov,34.0,12.0,10.0,0
White,Female,State-Gov,54.0,14.0,37.0,0
White,Male,Private,40.0,12.0,45.0,0
White,Female,Private,26.0,9.0,40.0,2354
White,Female,Federal-Gov,59.0,14.0,40.0,0
White,Male,Private,41.0,10.0,59.0,0
White,Female,Private,24.0,13.0,25.0,0
White,Male,Self-Emp-Not-Inc,22.0,10.0,48.0,0
Asian-Pac-Islander,Male,Private,54.0,14.0,40.0,7298
White,Female,Private,34.0,14.0,40.0,0
White,Male,Self-Emp-Not-Inc,23.0,2.0,40.0,0
White,Male,Self-Emp-Inc,40.0,10.0,40.0,0
White,Female,Private,46.0,14.0,22.0,0
White,Male,Self-Emp-Not-Inc,61.0,15.0,35.0,0
Asian-Pac-Islander,Male,Private,37.0,9.0,40.0,0
Black,Female,Private,20.0,10.0,20.0,594
White,Male,Private,25.0,12.0,13.0,0
White,Female,Private,47.0,9.0,65.0,0
White,Female,Private,29.0,12.0,38.0,0
White,Male,Private,40.0,9.0,40.0,4064
White,Male,Self-Emp-Inc,47.0,10.0,45.0,0
White,Male,Local-Gov,31.0,13.0,40.0,0
White,unknown,Private,21.0,10.0,40.0,0
White,Male,Private,29.0,6.0,45.0,0
Black,Male,Private,60.0,6.0,40.0,0
White,Male,Private,35.0,2.0,40.0,0
White,Male,Private,50.0,9.0,15.0,0
White,Female,Private,19.0,10.0,40.0,0
Black,Female,Private,26.0,9.0,40.0,0
White,Male,Private,30.0,6.0,40.0,0
White,Male,Private,29.0,13.0,50.0,0
White,Male,Local-Gov,27.0,9.0,45.0,0
White,Female,Self-Emp-Not-Inc,65.0,9.0,40.0,0
White,Male,Private,46.0,12.0,40.0,0
White,Male,Private,62.0,10.0,40.0,0
Black,Female,Private,35.0,11.0,40.0,0
White,Male,Self-Emp-Inc,47.0,10.0,40.0,4386
White,Male,Private,41.0,9.0,60.0,0
White,Male,Private,60.0,13.0,45.0,15024
White,unknown,Private,28.0,13.0,55.0,0
White,Female,Private,40.0,10.0,20.0,0
White,Male,Self-Emp-Not-Inc,19.0,9.0,40.0,0
White,Male,Private,28.0,9.0,42.0,0
White,Male,Private,69.0,9.0,8.0,0
White,Male,Self-Emp-Not-Inc,44.0,10.0,50.0,0
White,Male,Private,66.0,13.0,40.0,20051
White,Male,Self-Emp-Not-Inc,59.0,9.0,20.0,0
White,Male,Private,36.0,9.0,52.0,0
White,Male,Private,32.0,10.0,60.0,15024
White,Male,Private,47.0,13.0,40.0,0
White,Female,Local-Gov,21.0,10.0,40.0,0
White,Male,Private,37.0,12.0,65.0,0
White,Female,Private,20.0,9.0,35.0,0
White,Male,Private,49.0,9.0,45.0,0
White,Male,Private,45.0,13.0,40.0,0
White,Male,Private,31.0,10.0,45.0,0
White,Male,Private,18.0,9.0,35.0,0
White,Male,Self-Emp-Inc,27.0,9.0,50.0,0
White,Male,Self-Emp-Not-Inc,53.0,9.0,35.0,0
White,Male,Private,22.0,10.0,50.0,0
White,Male,Private,44.0,16.0,55.0,0
White,Male,Private,39.0,5.0,50.0,0
Black,Male,Private,37.0,10.0,35.0,0
White,Female,Private,31.0,13.0,40.0,0
White,Male,Private,46.0,9.0,48.0,0
Black,Male,Private,33.0,10.0,40.0,0
White,Male,Private,25.0,9.0,36.0,0
White,Male,Private,23.0,10.0,20.0,0
White,Female,Private,26.0,13.0,20.0,0
Black,Female,Private,27.0,9.0,60.0,0
Black,Male,Private,44.0,9.0,40.0,0
Black,Female,Private,18.0,7.0,50.0,0
White,Female,Private,34.0,13.0,45.0,0
White,Male,Federal-Gov,67.0,9.0,40.0,0
White,Female,Local-Gov,39.0,14.0,50.0,0
Black,Male,Private,27.0,13.0,40.0,0
Asian-Pac-Islander,Female,Federal-Gov,45.0,10.0,40.0,914
White,Female,Private,47.0,14.0,40.0,7688
White,Male,Private,66.0,13.0,6.0,0
White,Female,Private,45.0,7.0,40.0,0
White,Male,State-Gov,37.0,10.0,40.0,0
White,Male,Private,31.0,7.0,40.0,0
White,Male,Private,21.0,10.0,10.0,0
White,Male,Self-Emp-Inc,42.0,9.0,50.0,1151
White,Male,Private,45.0,6.0,40.0,2829
White,Male,Private,57.0,9.0,30.0,0
White,Male,Private,34.0,9.0,65.0,0
White,Male,Private,74.0,9.0,30.0,0
White,Male,Private,40.0,9.0,40.0,5178
Other,Female,Private,32.0,10.0,70.0,0
White,Female,Private,39.0,14.0,45.0,0
White,Male,Local-Gov,40.0,13.0,48.0,0
White,unknown,Self-Emp-Not-Inc,68.0,10.0,30.0,0
White,Female,Local-Gov,18.0,14.0,60.0,0
White,Male,Private,28.0,13.0,40.0,7688
White,Female,Private,47.0,9.0,45.0,0
White,Female,Private,49.0,10.0,40.0,3674
White,Female,Local-Gov,39.0,13.0,50.0,0
White,Male,Private,19.0,9.0,45.0,0
Asian-Pac-Islander,Male,Private,34.0,14.0,43.0,0
White,Female,Private,37.0,13.0,45.0,0
White,Female,Private,25.0,9.0,25.0,0
White,Female,Private,23.0,11.0,36.0,0
White,Male,Private,60.0,9.0,50.0,0
White,Male,Private,20.0,7.0,40.0,0
White,Female,Private,31.0,6.0,40.0,0
Asian-Pac-Islander,Male,Self-Emp-Inc,67.0,9.0,40.0,0
White,Female,Self-Emp-Not-Inc,32.0,9.0,40.0,0
Black,Female,Private,31.0,13.0,40.0,0
White,Female,Self-Emp-Inc,18.0,9.0,8.0,0
Black,Female,Private,36.0,11.0,38.0,0
White,Female,Private,34.0,13.0,40.0,0
White,Female,Private,78.0,9.0,1.0,0
White,Female,Private,20.0,5.0,11.0,0
White,Male,Private,51.0,13.0,40.0,15024
White,Male,Federal-Gov,30.0,9.0,40.0,0
White,Female,State-Gov,32.0,3.0,10.0,0
White,Male,Federal-Gov,50.0,10.0,40.0,0
White,Male,Federal-Gov,37.0,10.0,40.0,0
White,Male,Private,32.0,9.0,50.0,0
Black,Male,Private,35.0,13.0,40.0,0
White,Male,Local-Gov,63.0,9.0,55.0,0
White,Male,Self-Emp-Inc,31.0,12.0,45.0,0
White,Male,Private,39.0,7.0,60.0,0
White,Male,Private,62.0,9.0,8.0,0
White,Male,Private,48.0,9.0,44.0,0
White,Male,Self-Emp-Not-Inc,55.0,9.0,55.0,27828
White,Female,Private,23.0,10.0,40.0,0
Black,Female,Private,27.0,7.0,32.0,0
White,unknown,Self-Emp-Not-Inc,39.0,13.0,60.0,0
White,Male,State-Gov,26.0,13.0,10.0,0
White,Male,Private,19.0,10.0,10.0,0
White,Male,Private,49.0,10.0,45.0,0
White,Male,Self-Emp-Not-Inc,41.0,9.0,50.0,0
Asian-Pac-Islander,Male,Private,37.0,16.0,40.0,7298
White,Male,Private,48.0,10.0,40.0,0
Amer-Indian-Eskimo,Male,Self-Emp-Not-Inc,39.0,10.0,50.0,0
White,Male,State-Gov,27.0,10.0,40.0,0
White,Female,Private,23.0,13.0,38.0,0
White,Male,Private,20.0,10.0,6.0,0
White,Female,Private,29.0,9.0,40.0,0
White,Female,Private,25.0,14.0,40.0,0
White,Male,Private,30.0,9.0,70.0,0
White,Male,Private,42.0,14.0,50.0,0
White,Male,Private,25.0,7.0,45.0,0
